url,title,author,publication_date,cleaned_text
https://www.zawya.com/en/business/transport-and-logistics/saudi-global-ports-unit-takes-over-eastern-coast-terminals-operations-qxk12ztw,Saudi Global Ports unit takes over Eastern Coast terminals operations,Staff Writer,"July 2, 2025",saudi arabia modern port services company limited sgp multipurpose terminals a subsidiary of saudi global ports group together with its subsidiaries today july officially took over as the operator of multipurpose terminals along the eastern coast of saudi arabia the terminals are located at king abdulaziz port dammam kapd jubail commercial port king fahad industrial port jubail kfip and ras alkhair port this follows the recent awarding of year concession agreements by the saudi ports authority mawani to integrate saudi arabias multipurpose terminals along the eastern coast through a single operator said sgp in a statement these terminals support national industries including energy petrochemicals construction and mining and are key to the kingdoms ongoing mega projects and economic development efforts it added saudi global ports group unit sgpmp is working closely with mawani to develop plans to enhance safety operational resilience and service standards the enhancements will be modelled after sgps successful transformation of its terminals at king abdulaziz port dammam and the riyadh dry port ecosystem looking ahead sgpmp will also be supported by expertise from sgps technical partner psa international which operates multipurpose terminals in singapore and globally said a top official this is an important milestone for the group we are grateful for the trust of mawani our customers and stakeholders as we continue to raise standards of the ports infrastructure and unlock more value for the ports and logistics ecosystem in the kingdom remarked saudi global ports group ceo rob harrison sgp he stated has committed to investing over sar million million in the four multipurpose terminals and is proud to continue its strides towards being the gateway to growth on the eastern coast of saudi arabia i would also like to take this opportunity to thank the teams across sgp for their contributions toward this successful transition he added copyright al hilal publishing and marketing group provided by syndigate media inc syndigateinfo
https://www.zawya.com/en/economy/africa/credit-access-for-ugandan-farmers-rises-with-fintech-qjux30ao,Credit access for Ugandan farmers rises with fintech,Bernard Busuulwa,"June 23, 2025",even as questions swirl over the real impact of increased documentation on ugandan farmers ability to secure loans from banks financial technology firms have continued to invest in the sector ushering in easier access to credit and higher production levels unstable weather patterns fluctuating commodity prices inadequate documentation among local farmers low literacy levels evident in the farming community and relatively high loan default rates have scared many financial institutions away from massive lending to the agricultural sector for example loan default rates in the agricultural sector have averaged more than five percent per year since while the average share of agricultural loans stood at less than percent before the covid lockdown period its relative share of private sector loans provided by commercial banks credit institutions and microfinance lenders has risen to around percent the agricultural credit facility acf has disbursed more than ush billion million loans to various agricultural sector borrowers since loans offered under the acf bear interest rates of less than percent per year around ush trillion million has been disbursed so far under the parish development model pdm an interestfree loan facility provided by the government to households engaged in agricultural production what is the real impact of increased documentation on loan amounts disbursed to farmerswe do not have enough information about that initiative at this time but it will certainly improve credit underwriting processes carried out by commercial banks this means a bank can process a credit application faster and also disburse loans to farmers at a quicker pace because they have access to better borrower informationa farmer will also find it difficult to claim they have acres of land while the satellite mapping system has not captured such information but i need to get my team to collect more data on the partnerships between commercial banks fintechs and their impact on relative access to credit within the agricultural sector explained david kalyango bous executive director for bank supervision copyright nation media group all rights reserved provided by syndigate media inc syndigateinfo
https://www.zawya.com/en/business/real-estate/dld-opens-registeration-for-real-estate-broker-programme-fv7yhyth,DLD opens registeration for real estate broker programme,Staff Writer,"July 1, 2025",dubai land department dld has announced that it has opened registeration for emiratis keen to join the dubai real estate broker programme via its official website this comes following the strong interest to the programme since its launch which has already drawn a significant number of citizens keen to enter the real estate brokerage sector the total value of real estate deals completed through qualified brokers since the programmes launch has reached aed million million said dld in a statement this programme serves as a comprehensive platform for developing national talent and preparing a new generation of qualified emirati brokers in line with the highest professional standards it contributes to reinforcing dubais position as a leading global destination for real estate investment and supports the sectors sustainability and dynamism it stated the programme also aims to increase the percentage of emiratis working in real estate brokerage to over the next three years reflecting the dubai governments commitment to engaging national talent in highvalue economic sectors it added dld said the initiative continues reinforcing its role as a strategic platform for increasing national talent participation in this key industry to date the programme has surpassed expectations with the number of qualified emirati brokers reaching more than of the annual target it has also delivered numerous specialised training courses in collaboration with accredited academic institutions it stated upon completion of the required training participants are issued an official real estate broker card valid for three years allowing them to practice the profession in accordance with dubais legal and regulatory framework dld pointed out that the dubai real estate broker programme was one of the key pillars aligned with the dubai social agenda objectives the programme aims to empower emirati citizens to benefit from the economic opportunities available in the real estate sector by providing specialised professional training issuing the national broker licence allocating a percentage of real estate projects to programme participants and enhancing their employment opportunities within active brokerage firms across dubaitradearabia news service copyright al hilal publishing and marketing group provided by syndigate media inc syndigateinfo
https://www.zawya.com/en/economy/africa/how-fintech-is-bridging-the-financial-inclusion-gap-for-africas-smallholder-farmers-hqq2x68s,How fintech is bridging the financial inclusion gap for Africa’s smallholder farmers?,Staff Writer,"June 25, 2025",across the african continent smallholder farmers are at the frontline of the climate crisis rising temperatures unpredictable rainfall prolonged droughts and extreme weather patterns are not only threatening harvests but undermining food security livelihoods and rural economies yet despite the urgency to adapt a persistent barrier remains access to finance according to the international finance corporation the financing gap for agricultural small and mediumsized enterprises smes and smallholder farmers in africa stands at an estimated usd billion for the millions of farmers who work small plots of land the challenge is especially acute lacking formal credit histories collateral or even identification many are systematically excluded from traditional lending systems but technology is changing that fintech is redefining access fintech innovation is rapidly transforming how financial services are delivered in africa mobile lending platforms digital wallets alternative credit scoring and blockchainbased traceability tools are not just reshaping banking they are fundamentally shifting who gets included in the system by leveraging digital infrastructure fintech platforms are enabling financial access in rural underserved areas places where brickandmortar banks have little presence these solutions offer tailored loan products often at lower transaction costs and with userfriendly onboarding processes that suit farmers needs and cycles the power of data and alternative credit models one of the most promising developments is the use of alternative data sources such as mobile money usage satellite imagery weather trends and farming activity logs to assess creditworthiness in a continent where traditional financial records are rare these innovations are proving critical with aipowered credit models lenders can now build accurate risk profiles even in datascarce environments this opens doors for smallholder farmers to access capital enabling them to invest in climateresilient practices like drip irrigation solarpowered cold storage or improved seed varieties inclusive finance for climate resilience access to capital is not just about improving yields its about enabling adaptation as climate volatility increases inclusive finance becomes a vital tool for building resilience in food systems smallholder farmers need the means to adapt whether thats through soil conservation measures diversification into highervalue crops or climatesmart technologies fintech offers a pathway to deliver this support at scale by connecting farmers with affordable flexible financial products it empowers them to invest grow and absorb shocks more effectively the road ahead financial inclusion for smallholder farmers is both a moral imperative and an economic opportunity with agriculture employing the majority of africas workforce enabling farmers to thrive is essential for broader development stability and food security fintech alone isnt a silver bullet but it is a powerful enabler to unlock its full potential ecosystem collaboration will be key partnerships between fintechs policymakers regulators and development actors can help create the conditions for responsible innovation consumer protection and longterm viability as climate pressures intensify the focus must shift from shortterm fixes to building longterm resilience financial technology is helping lay that foundation one mobile transaction one digital loan and one empowered farmer at a time copyright africabusinesscom all materials can be used freely indicating the origin africabusinesscom provided by syndigate media inc syndigateinfo
https://www.zawya.com/en/special-coverage/the-future-of-cryptos/qubetics-in-final-stage-of-best-crypto-presale-to-join-in-june-2025-as-bitcoin-eyes-120k-and-chainlink-taps-mastercard-q5kk63uz,Qubetics in final stage of best crypto presale to join in June 2025 as Bitcoin eyes $120K and Chainlink taps Mastercard,N/A,"June 30, 2025",is june shaping up to be the defining stretch for longterm crypto positioning with bitcoin analysts projecting a decisive breakout toward and chainlink finalizing a strategic integration with mastercard june has delivered a clear message to the crypto community real utility and scaleready infrastructure are now in the spotlight as liquidity begins to rotate into structurally sound assets early adopters are watching closely to identify the next opportunity that aligns with technical growth and nearterm returns bitcoins current momentum is largely tied to reduced selling pressure while chainlink is extending blockchain usability to over three billion mastercardlinked users amid this sharp market shift qubetics has surfaced as a serious contender standing at the intersection of web interoperability and realworld financial utility contentsqubeqode bridging multichain utility with codefree simplicityqubetics secures exchange listing with upside builtinfinal stage why this is the best crypto presale to join in june bitcoin aims for k as selling pressure fadeschainlink brings crypto access to billion mastercard usersconclusion why these projects deserve your immediate attentionfor more informationfaqs qubetics tics is approaching the close of its final presale stage yet its value proposition stretches far beyond timing unlike legacy protocols that focused on isolated ecosystems qubetics introduces a framework designed to unify multiple blockchain networks while allowing developers and enterprises to build seamlessly across chains from draganddrop blockchain integrations to its intuitive codefree ide it is purposebuilt to lower entry barriers across sectors while qubetics pushes into its final sale stage bitcoin is drawing bullish sentiment from macro indicators and chainlink is rapidly capturing enterprise relevance all three reflect a broader demand for operational readiness and applicationlayer dominance making this lineup particularly relevant for those tracking the best crypto presale to join in june qubeqode bridging multichain utility with codefree simplicity qubetics most talkedabout asset isnt just the token its the ide powering the ecosystem known as qubeqode this visual development environment strips away traditional development complexity while expanding technical possibilities the platforms draganddrop modules allow participants from nontechnical backgrounds to design blockchain features such as token authentication data routing and asset storage within minutes for business owners running crossborder transactions or financial workflows this means timetomarket is significantly shortened without having to build custom contracts from scratch at the heart of qubeqode is its code snippet repository and formbased configuration tools instead of relying on expensive thirdparty developers a logistics operator for example could create a smart contract that tracks multichain shipments across networks configured entirely through an intuitive interface this is where qubetics rises above existing layer chains its application stack doesnt just promise scalability it makes highlevel blockchain functionality accessible to realworld participants this strategic accessibility is what places qubetics in direct alignment with the shift towards utilityfirst protocols and reinforces its positioning among the best crypto presale to join in june qubetics secures exchange listing with upside builtin qubetics has officially announced the listing of its native tics token on a toptier centralized exchange set to go live at am utc on june this milestone follows a calculated rollout marking a critical step in the projects longterm execution plan the listing price is set at representing a fixed increase from the final presale price public sale participants who act before am utc on june will be entering before this listing valuation becomes active with this event locked in the timing of entry has shifted from speculative to strategic the combination of live product utility public market readiness and a finite allocation of tokens left in circulation reinforces the projects shortterm opportunity without diluting its longterm relevance final stage why this is the best crypto presale to join in june the current qubetics presale stands at stage with tokens priced at over million tics tokens have already been sold to more than participants globally bringing total raised capital to million with only million tokens left for public sale this is the final chance to secure tics before its scheduled listing at that translates to an immediate roi for those who act before the deadline qubetics has restructured its tokenomics by cutting the total supply from over billion to just billion tokens drastically improving scarcity and longterm value retention for example a entry at the current price secures around tics tokens once the token lists at those same tokens would be valued at approximately yielding a builtin profit of and if analysts projections hold true and tics touches to in upcoming market cycles the same could turn into to offering strong upside rooted in actual token dynamics this structured value proposition is what cements qubetics as a standout among current crypto presale opportunities its model supports realworld interoperability and hands back decisionmaking power to its community reinforced by a public sale allocation for anyone evaluating their next entry point this is the best qubetics presale moment structurally strategically and financially this is what defines the best crypto presale status bitcoin aims for k as selling pressure fades bitcoins next leg could push past according to top market analysts with longterm holders now offloading less than of circulating supply a major contraction in sellside activity the market setup is primed for aggressive upward movement data confirms that bitcoins day realized cap hodl waves have dropped to their lowest since early pointing to strong hodl behavior and price accumulation by committed holders traders are interpreting this as a signal that liquidity is preparing to shift from dormant capital to active participation simultaneously onchain activity is showing signs of price stabilization and key technical indicators are aligning for bullish continuation analysts point out that as dormant bitcoin becomes increasingly inactive it mimics conditions last observed just before major price surges in late and early the expectation now is for new capital to enter once macro conditions align potentially pushing bitcoin well beyond its current consolidation zone this renewed optimism is shaping current allocations across portfolios chainlink brings crypto access to billion mastercard users chainlink has partnered with mastercard to deploy its crosschain interoperability protocol ccip unlocking access to crypto for mastercards billion cardholders globally this move places chainlink at the heart of enterprisegrade blockchain integrations particularly as mastercard continues to test and implement new tokenization frameworks for realworld assets the pilot program includes prominent institutions such as the federal reserve bank of new yorks innovation center and the monetary authority of singapore giving chainlink unmatched exposure at regulatory and financial levels this ccip deployment makes it easier for cardlinked platforms to integrate with decentralized networks using chainlinks secure data feeds and crosschain capabilities it essentially opens the door for seamless blockchaintobank transactions at global scale an edge that few projects currently offer as mastercard taps into tokenized asset infrastructure chainlink becomes the technical bridge that underpins that transformation putting it in a leadership position within institutional blockchain solutions conclusion why these projects deserve your immediate attention qubetics bitcoin and chainlink are not speculative tokens waiting on market buzz they are structurally backed plays making real progress in june deep accumulation trends and declining sellside volume underpin bitcoins shift toward k chainlink is executing one of the largest enterprise blockchain integrations through its mastercard partnership and qubetics is offering highutility web tools backed by realtime adoption and a closing crypto presale that gives early buyers both upside and utility the difference in is clear real application is driving real value qubetics stands out not just because of timing but because its presale still offers a return upon listing real development tools like qubeqode and clear scarcitydriven mechanics for anyone evaluating serious opportunities in this cycle this remains the best crypto presale to join in june and the time to join this best crypto presale is before allocation closes for more information qubetics httpsqubeticscom presale httpsbuyqubeticscom telegram httpstmequbetics twitter httpsxcomqubetics faqs what is the current roi for qubetics presale participantsparticipants who buy at will receive approximately roi at the listing price of making this one of the best crypto presale opportunities currently available when does the qubetics presale officially endthe qubetics presale ends on june at am utc token listing will follow at am utc the same day why is qubetics considered the best crypto presale to join in june qubetics combines real product utility with a fixed roi listing accessible development tools and strong community ownership making it the best crypto presale to join in june summary qubetics is nearing the end of its final crypto presale phase with million raised and more than million tics tokens distributed with just million tokens left at and a listing price set at early buyers stand to gain an immediate return its qubeqode ide draganddrop blockchain tools and chainagnostic design make it a standout for realworld adoption meanwhile bitcoin targets k following supplyside tightening and chainlinks mastercard integration opens crypto access to billion users together these projects are defining what real market utility looks like in june copyright nigerian tribune provided by syndigate media inc syndigateinfo
https://www.zawya.com/en/business/investment/saudis-pif-to-issue-notes-through-cp-programme-to-boost-financing-j3p02bv2,Saudi’s PIF to issue notes through CP programme to boost financing,Staff Writer,"June 24, 2025",saudi arabias sovereign wealth fund the public investment fund pif is poised to issue notes through its first commercial paper cp programme a move designed to diversify its funding sources the program which enables cp issuance via offshore special purpose vehicles includes both us and euro cp subprograms it has secured the highest possible shortterm credit ratings p from moodys and f from fitch the cp issuance is expected to boost the sovereign wealth funds shortterm financing flexibility pif said on monday noting that it is a common cash management tool in global financial markets the establishment of our cp programme reflects the continued strength and depth of pifs capital raising strategy one that is dynamic resilient and fit for purpose aligning funding solutions with our longterm investment priorities said fahad alsaif pifs head of global capital finance and investment strategy and economic insights writing by cleofe maceda editing by seban scaria sebanscarialsegcom
https://www.zawya.com/en/business/aviation/etihad-airways-launches-loyalty-partnership-with-vietnam-airlines-l81n4vfe,Etihad Airways launches loyalty partnership with Vietnam Airlines,Staff Writer,"July 2, 2025",uae etihad airways the national airline of the uae and vietnam airlines the national carrier of vietnam have signed a frequent flyer partnership agreement to allow loyalty members of either airline to earn and redeem miles across both networks from july mark potter managing director etihad guest at etihad airways said we are pleased to offer our members even more ways to earn and redeem their etihad guest miles rewarding guests for every extraordinary travel experience complimenting etihads launch of flights to hanoi from november this year this partnership gives our members access to vietnam airlines impressive global network offering members more destinations across north america europe asia pacific and domestic vietnam we look forward to welcoming lotusmiles members onboard etihad soon to experience our signature emirati hospitality and earn and redeem their miles with us one adventure at a time nguyen sy thanh vietnam airlines lotusmiles director also commented we are delighted to partner with etihad airways this collaboration will offer lotusmiles members greater opportunities to earn and redeem miles across an extensive global network including destinations in north america and the middle east it also ensures a seamless and rewarding travel experience delivered with worldclass service from both airlines this marks an important milestone in our journey to enhance customer value and reinforce our continued commitment to provide memorable travel experiences beyond that the partnership reflects our dedication to delivering the image of vietnam and its rich cultural identity closer to the world this partnership is a demonstration of the commitment established by both carriers signing a memorandum of understanding in october last year and reflects the initial phase of expanded cooperation the mou was designed to strengthen ties between the airlines and formalised a commitment to explore further collaboration for both etihad and vietnam airlines customers etihad will begin flights to hanoi in november as one of new destinations the airline is launching this year the inaugural will create a new bridge between vietnam and the uae and offer more value to loyalty members of both airlines copyright al hilal publishing and marketing group provided by syndigate media inc syndigateinfo
https://www.zawya.com/en/business/transport-and-logistics/qatar-ports-see-steep-rise-in-handling-of-cargoes-building-materials-in-june-h5iharbn,"Qatar ports see steep rise in handling of cargoes, building materials in June",Staff Writer,"July 2, 2025",doha qatar hamad ruwais and doha ports witnessed a robust growth in june after registering a steep rise in the handling of cargoes and building material volumes compared to the same period previous year qatar ports handled over tonnes of general and bulk cargo in june a increase compared to the same month last year additionally the volume of building materials increased by approximately compared to june mwani qatar stated in a post on x platform yesterday the ports received vessels in june this year while the container handling through the three ports stood at teus twentyfoot equivalent units the general and bulk cargo roro livestock and building materials during the same period accounted for tonnes units heads and tonnes respectively on the occasion of world marine aids to navigation day on july mwani qatar reaffirmed its commitment to providing advanced navigational infrastructure that meets the highest international standards ensuring safe and efficient maritime navigation in qatari waters by continuously monitoring and maintaining navigational aids along the coastline to enhance the safety of sea lanes established by the international association of marine aids to navigation and lighthouse authorities iala in this day highlights the vital role that it plays in ensuring safe navigation for mariners worldwide meanwhile in may of this year hamad ruwais and doha ports received vessels and saw a percent yearonyear increase in container throughput building materials livestock and vessel arrivals rose by percent percent and percent respectively compared to may during the same period the container handling stood at teus general and bulk cargo roro livestock and building materials accounted for tonnes units heads and tonnes with its growing maritime network linking to more than ports around the world hamad port qatars main gateway to world trade facilitates the smooth and secure flow of goods and transshipment dar al sharq press printing and distribution all rights reserved provided by syndigate media inc syndigateinfo
https://www.zawya.com/en/capital-markets/equities/mideast-stocks-gulf-bourses-end-mixed-on-us-tariff-uncertainty-k2grhwns,Mideast Stocks: Gulf bourses end mixed on US tariff uncertainty,Ateeq Shariff,"July 2, 2025",stock markets in the gulf ended mixed on wednesday as investors monitored global trade developments ahead of the united states potential reimposition of sweeping tariffs on july president donald trump said on tuesday he was not thinking of extending the july deadline for countries to negotiate trade deals with the us and continued to express doubt that an agreement could be reached with japan saudi arabias benchmark index edged higher after two consecutive sessions of losses helped by rise in saudi arabian mining company the cautious mood dominating the region contributed to mixed sector performances said joseph dahrieh managing principal at tickmill investors are awaiting further developments to gain more clarity while low oil prices continue to pose a risk despite a positive economic outlook he said among gainers oil giant saudi aramco rose oil futures edged up as iran suspended cooperation with the un nuclear watchdog and markets weighed expectations of more supply from major producers next month while the us dollar softened further dubais main share index dropped hit by a fall in toll operator salik company separately dubai commuters may soon have a new way to beat traffic as joby aviation successfully completed the first test flight of its fullyelectric air taxi in the emirate this week a significant step toward the citys goal of integrating airborne transport into its mobility network as early as next year in abu dhabi the index eased while the qatari index closed flat a report on tuesday suggested that the us labour market stayed resilient in may sharpening the focus on us nonfarm payrolls figures due on thursday as investors try to gauge when the federal reserve is likely to cut interest rates next fed chair jerome powell on tuesday reiterated the us central banks plans to wait and learn more before lowering rates outside the gulf egypts bluechip index added with talaat moustafa holding rising reporting by ateeq shariff in bengaluru editing by mark potter
https://www.zawya.com/en/business/travel-and-tourism/hotel-revenues-in-abu-dhabi-reach-231mln-in-april-2025-g8l62rd9,Hotel revenues in Abu Dhabi reach $231mln in April 2025,Staff Writer,"July 2, 2025",hotel establishments in abu dhabi generated revenues amounting to aed million in april comprising aed million from rooms aed million from food and beverage and aed million from other services according to preliminary data released by the department of culture and tourism abu dhabi and issued by the statistics centre abu dhabi hotels across the emirate welcomed approximately guests in march the figures underscore abu dhabis growing appeal as a global tourism destination supported by a diverse range of accommodation options and elevated service standards a total of hotel establishments were in operation during the month offering hotel rooms the total number of guest nights exceeded million with an average occupancy rate of percent the average revenue per available room reached aed guests from nonarab asian countries topped the list with hotel guests followed by european visitors with and uae nationals with the figures highlight sustained growth in the emirates tourism sector and reinforce its status as a preferred destination for international travellers by category fivestar hotels received the highest number of guests with led by european visitors fourstar hotels hosted guests while hotels rated three stars or below received guests additionally guests stayed in hotel apartments
